Name,mean
Kanpur,0.078701852
Srinagar,0.004985453
Anantnag,0.036142796
Amritsar,0.056866555
Kapurthala,0.109864214
Ludhiana,0.054618716
Moga,0.087795036
Chandigarh,0.199581251
Panchkula,0.129162707
Barnala,0.106419468
Ambala,0.116528423
Dehradun,0.142228873
Patiala,0.130831628
Hardwar,0.116085978
Karnal,0.140748979
Sirsa,0.101771163
Kashipur,0.108961517
Hisar,0.094863662
Rudrapur,0.102399364
Sonipat,0.075577708
Rohtak,0.092935886
Bhiwani,0.12631798
Bahadurgarh,0.080427155
Gurgaon,0.110365417
Bareilly,0.069966017
Bulandshahr,0.058799666
Rewari,0.133304053
Jhunjhunun,0.126300558
Aligarh,0.079519896
Alwar,0.138793819
Fatehgarh,0.16364022
Bharatpur,0.11675268
Mainpuri,0.101301067
Agra,0.087590277
Lucknow,0.086067201
Dabgram,0.204023963
Gorakhpur,0.070836285
Siliguri,0.218185383
Kishangarh,0.099005938
Unnao,0.099964005
Jalpaiguri,0.275255333
Kanpur,0.139548986
Morena,0.10961208
Ajmer,0.158785784
Jodhpur,0.128255472
Rae Bareli,0.093565875
Guwahati,0.169270315
Saharsa,0.100488123
Purnia,0.126066593
Deoli,0.128983137
Hajipur,0.102672936
Datia,0.149585292
Patna,0.13122975
Shillong,0.161561614
Arrah,0.07607346
Allahabad,0.093521071
Bundi,0.130220974
Varanasi,0.074298853
Bhilwara,0.134827957
Mughalsarai,0.071924449
Bhagalpur,0.125015461
Kota,0.119199389
Chittaurgarh,0.134957236
Imphal,0.184691258
Guna,0.133485003
Udaipur,0.145196631
Satna,0.124110228
Deoghar,0.173365501
Neemuch,0.155602949
Deesa,0.135481742
Giridih,0.124973482
Baharampur,0.168879422
Hazaribag,0.184225513
Sagar,0.155519934
Murwara,0.122580389
Damoh,0.141868619
Dhanbad,0.139022174
Jamuria,0.114597747
Bokaro Steel,0.146999421
Raniganj,0.070829584
Mahesana,0.120475901
Durgapur,0.093294725
Banswara,0.142584343
Ranchi,0.206209383
Ratlam,0.135250625
Bhopal,0.142145611
Bhuj,0.104968647
Gandhinagar,0.192705716
Jabalpur,0.1485771
Bankura,0.154071655
Ambikapur,0.14266921
Gandhidham,0.089881293
Ahmedabad,0.089806294
Dewas,0.163805967
Bansberia,0.139083264
Naihati,0.13732299
Chandannagar,0.158807021
Morvi,0.076473166
Champdani,0.149840175
Indore,0.128450508
Hoshangabad/Narmadapuram,0.173127985
Nadiad,0.121848594
Anand,0.163219006
Jamnagar,0.089175903
Korba,0.114719306
Kharagpur,0.156780396
Vadodara,0.115483943
Rajkot,0.079609848
Haldia,0.126883316
